#1 ---------------------------------------------------------------- 1#
#2     Nucleosynthesis yields of B11TW0.25 model                    2#
#3     Nishimura, Takiwaki and Thielemann, ApJ 810:109 (2015)       3#
#4     Total ejecta:     2.68000e-02  in Solar Mass                 4#
#5 ---------------------------------------------------------------- 5#
#6   name     Z    N    A    X                   Y                  6#
#7 ---------------------------------------------------------------- 7#
     os187   76  111  187    5.4940234086e-18    5.4940234086e-18
     os188   76  112  188    1.7514672962e-07    1.7514672962e-07
     os189   76  113  189    2.9202622636e-07    2.9202622636e-07
     os190   76  114  190    3.7591476024e-07    3.7591476024e-07
     os192   76  116  192    5.5275764219e-07    5.5275764219e-07
     ir191   77  114  191    3.0130906004e-07    3.0130906004e-07
     ir193   77  116  193    7.9457135905e-08    7.9457135905e-08
     pt190   78  112  190    2.4342386147e-16    2.4342386147e-16
     pt192   78  114  192    2.3364898360e-16    2.3364898360e-16
     pt194   78  116  194    1.4261480798e-07    1.4261480798e-07
     pt195   78  117  195    1.3607522068e-07    1.3607522068e-07
     pt196   78  118  196    1.5301674216e-07    1.5301674216e-07
     pt198   78  120  198    1.9207224967e-08    1.9207224967e-08
     au197   79  118  197    9.2918644860e-09    9.2918644860e-09
     hg196   80  116  196    1.4819330898e-13    1.4819330898e-13
     hg198   80  118  198    1.4001457446e-14    1.4001457446e-14
     hg199   80  119  199    1.1203806194e-09    1.1203806194e-09
     hg200   80  120  200    4.5360373735e-09    4.5360373735e-09
     hg201   80  121  201    4.1962868611e-10    4.1962868611e-10
     hg202   80  122  202    2.2205294218e-09    2.2205294218e-09
     hg204   80  124  204    2.7590477852e-09    2.7590477852e-09
     tl203   81  122  203    7.3910237748e-10    7.3910237748e-10
     tl205   81  124  205    1.8625372712e-09    1.8625372712e-09
     pb204   82  122  204    1.5567498090e-12    1.5567498090e-12
     pb206   82  124  206    5.0950575781e-09    5.0950575781e-09
     pb207   82  125  207    9.9674251569e-09    9.9674251569e-09
     pb208   82  126  208    9.2966849189e-09    9.2966849189e-09
     bi209   83  126  209    7.8371438401e-09    7.8371438401e-09
     th232   90  142  232    1.6201355015e-08    1.6201355015e-08
     u235    92  143  235    1.6534984978e-08    1.6534984978e-08
     u238    92  146  238    3.3637820953e-11    3.3637820953e-11
